transcript_name,eps_name,confidence,transcript_filepath,eps_value
Fiserv,FISERV INC,100.0,transcripts_by_company/Fiserv_2007Q3.txt,0.34
GANNETT,GANNETT CO INC,100.0,transcripts_by_company/Gannett_Co_Inc_CurrentQ4.txt,0.24
Wind River Systems,WIND RIVER SYSTEMS INC,100.0,transcripts_by_company/Wind_River_Systems_2007Q2.txt,-0.1
VF CORPORATION,VF CORP,100.0,transcripts_by_company/VF_Corporation_2007Q1.txt,2.68
Vertel Corporation,VERTEX INC,83.33333333333333,transcripts_by_company/Meredith_Corporation_2007Q2.txt,0.15
"POZEN, INC.",POZEN INC,100.0,transcripts_by_company/Pozen_Inc_2005Q2.txt,-0.78
Paychex,PAYCHEX INC,100.0,transcripts_by_company/Paychex_2007Q1.txt,0.18
TXU CORP.,TXU CORPORATION,100.0,transcripts_by_company/TXU_Corp_2006Q4.txt,3.78
Brandywine Realty &amp; Trust,BRANDYWINE REALTY TRUST,100.0,transcripts_by_company/Brandywine_Realty_and_Trust_2002Q1.txt,
INSTINET GROUP INCORPORATED,INSTINET CORP,100.0,transcripts_by_company/FedEx_Corp_2006Q2.txt,0.64
Columbia Sportswear Company,COLUMBIA SPORTSWEAR CO,100.0,transcripts_by_company/Columbia_Sportswear_Company_2023Q4.txt,0.19
Cerner Corp,CERNER CORP,100.0,transcripts_by_company/Cerner_Corp_2002Q4.txt,0.37
"Cost Plus, Incorporated",COST PLUS,100.0,transcripts_by_company/Cost_Plus_Incorporated_2002Q1.txt,0.93
R.H. Donnelley Corp,DONNELLEY,100.0,transcripts_by_company/RH_Donnelley_Corp_2002Q2.txt,0.2
Wal-Mart Incorporated,K2 INCORPORATED,88.88888888888889,transcripts_by_company/Wal-Mart_Incorporated_2002Q1.txt,0.29
dELiA*s,DELIA'S CORP-A,100.0,transcripts_by_company/dELiAs_2002Q4.txt,-0.43
ConAgra Foods Inc.,CONAGRA FOODS INC,100.0,transcripts_by_company/ConAgra_Foods_Inc_2006Q3.txt,0.31
Centennial Communications Corp.,CENTENNIAL GROUP,100.0,transcripts_by_company/FedEx_Corp_2006Q2.txt,-1.38
Sabre,SABRE CORP,100.0,transcripts_by_company/Everest_Re_Group_Ltd_2007Q3.txt,0.22
Stride Rite Corp.,STRIDE INC,100.0,transcripts_by_company/FedEx_Corp_2006Q2.txt,0.6
"East West Bancorp, Inc.","EAST WEST BANCORP, INC.",100.0,transcripts_by_company/East_West_Bancorp_Inc_2006Q4.txt,0.45
Vans Incorporated,VANS INC,100.0,transcripts_by_company/Vans_Incorporated_2002Q3.txt,0.03
Andrew Corporation,ANDREW CORP,100.0,transcripts_by_company/Andrew_Corporation_2006Q3.txt,0.04
Saba,CASA SABA S.A.  (GPO),100.0,transcripts_by_company/Saba_2006Q1.txt,0.16
Sonic Corporation,SONIC AUTOMOTIVE INC,100.0,transcripts_by_company/Sonic_Corporation_2006Q1.txt,1.91
"Arrow International, Inc.",AERO GROW INTERNATIONAL INC,90.47619047619048,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,-1.1
EntreMed,ENTREMED INC,100.0,transcripts_by_company/EntreMed_2006Q3.txt,-2.39
Charming Shoppes,CHARMING SHOPPES INC,100.0,transcripts_by_company/Charming_Shoppes_2007Q1.txt,0.19
Best Buy,BEST BUY CO INC,100.0,transcripts_by_company/Best_Buy_2007Q3.txt,2.65
NCR Corporation,NCR ATLEOS CORP,100.0,transcripts_by_company/Meredith_Corporation_2007Q2.txt,3.45
Entegris,ENTEGRIS INC,100.0,transcripts_by_company/Entegris_2006Q4.txt,-0.02
DMC Stratex Network,DMC STRATEX NETWORKS,97.43589743589745,transcripts_by_company/DMC_Stratex_Network_2002Q1.txt,-0.15
The Mony Group Inc,MONY GROUP INCORPORATED,100.0,transcripts_by_company/The_Mony_Group_Inc_2002Q4.txt,-0.04
"Take-Two Interactive Software, Inc.",TAKE-TWO INTERACTIVE SOFTWARE IN,100.0,transcripts_by_company/Take-Two_Interactive_Software_Inc_2004Q1.txt,0.92
American Greetings,AMERICAN GREETINGS CORP,100.0,transcripts_by_company/American_Greetings_2005Q2.txt,1.09
