CUSIP,fiscal_year,quarter,actual_eps,forecast_eps,cusip,eps_name,transcript_name,confidence_level,filepath,transcript_date,eps_date,eps_value,eps_date_from_mapping,confidence_level_from_mapping
74463M10,2009.0,2.0,,,74463M10,PUBLICIS GROUPE SA,Publicis Groupe SA,high,transcripts_by_company/Publicis_Groupe_SA_2009Q2.txt,2009-04-29,2009-04-29,,2009-04-29,high
47023T10,2005.0,4.0,,0.21,47023T10,JAMDAT MOBILE INC,JAMDAT Mobile,high,transcripts_by_company/JAMDAT_Mobile_2005Q4.txt,2005-11-08,2005-11-08,0.15,2005-11-08,high
03110010,2010.0,2.0,0.63,0.54,03110010,AMETEK INC,AMETEK Inc.,high,transcripts_by_company/AMETEK_Inc_2010Q2.txt,2010-04-27,2010-04-27,0.54,2010-04-27,high
68339910,2009.0,1.0,0.07,0.34,68339910,ONYX PHARMACEUTICALS INC,Onyx Pharmaceuticals,high,transcripts_by_company/Onyx_Pharmaceuticals_2009Q1.txt,2009-01-12,2009-02-23,0.03,2009-02-23,high
34349810,2005.0,1.0,0.46,0.39,34349810,FLOWERS FOODS INC,Flowers Foods,high,transcripts_by_company/Flowers_Foods_2005Q1.txt,2005-02-03,2005-02-03,1.21,2005-02-03,high
64869110,2017.0,4.0,-0.15,-0.16,64869110,NEW SENIOR INVESTMENT GROUP INC,New Senior Investment Group Inc.,high,transcripts_by_company/New_Senior_Investment_Group_Inc_2017Q4.txt,2017-11-03,2017-11-03,-0.18,2017-11-03,high
Y0207T10,2014.0,3.0,0.004,0.06,Y0207T10,ARDMORE SHIPPING CORP,Ardmore Shipping,high,transcripts_by_company/Ardmore_Shipping_2014Q3.txt,2014-07-29,2014-07-29,0.0,2014-07-29,high
42210P10,2007.0,4.0,0.23,0.45,42210P10,HEADWATERS,"Headwaters, Inc.",high,transcripts_by_company/Headwaters_Inc_2007Q4.txt,2007-11-06,2007-11-06,2.53,2007-11-06,high
00754E10,2011.0,4.0,-0.03,0.01,00754E10,ADVANCED PHOTONIX INC,Advanced Photonix Inc,high,transcripts_by_company/Advanced_Photonix_Inc_2011Q4.txt,2011-11-14,2011-11-14,-0.01,2011-11-14,high
04071210,2020.0,2.0,,,04071210,ARK RESTAURANTS CORP,Ark Restaurants Corp.,high,transcripts_by_company/Ark_Restaurants_Corp_2020Q2.txt,2020-06-23,2020-06-22,,2020-06-22,high
80917Q10,2014.0,4.0,,,80917Q10,SCOR SA,SCOR SE,high,transcripts_by_company/SCOR_SE_2014Q4.txt,2014-11-06,2014-11-06,,2014-11-06,high
25213110,2017.0,2.0,-0.16,-0.1,25213110,DEXCOM INC,"DexCom, Inc.",high,transcripts_by_company/DexCom_Inc_2017Q2.txt,2017-06-14,2017-08-01,-0.16,2017-08-01,high
27746110,2011.0,2.0,-0.62,-0.32,27746110,EASTMAN KODAK CO,Eastman Kodak Co,high,transcripts_by_company/Eastman_Kodak_Co_2011Q2.txt,2011-04-28,2011-04-28,-1.13,2011-04-28,high
69331C10,2014.0,2.0,0.69,0.89,69331C10,PG&E CORP,PG&amp;E Corporation,high,transcripts_by_company/PGandE_Corporation_2014Q2.txt,2014-05-01,2014-05-01,0.54,2014-05-01,high
36357610,2003.0,4.0,0.53,0.53,36357610,ARTHUR J GALLAGHER & CO,Arthur J. Gallagher,high,transcripts_by_company/Arthur_J_Gallagher_2003Q4.txt,2003-10-22,2003-10-21,0.52,2003-10-21,high
