CUSIP,fiscal_year,quarter,actual_eps,forecast_eps,cusip,eps_name,transcript_name,confidence_level,filepath,transcript_date,eps_date,eps_value,eps_date_from_mapping,confidence_level_from_mapping
53224V10,2015.0,1.0,-0.06,0.04,53224V10,LIFELOCK INC,"LifeLock, Inc.",high,transcripts_by_company/LifeLock_Inc_2015Q1.txt,2015-02-12,2015-02-10,0.48,2015-02-10,high
30063P10,2014.0,4.0,-0.38,-0.29,30063P10,EXACT SCIENCES CORP,Exact Sciences Corp.,high,transcripts_by_company/Exact_Sciences_Corp_2014Q4.txt,2014-10-27,2014-10-27,-0.39,2014-10-27,high
G0457F10,2017.0,2.0,,,G0457F10,ARCOS DORADOS HOLDINGS INC,Arcos Dorados Holdings Inc.,high,transcripts_by_company/Arcos_Dorados_Holdings_Inc_2017Q2.txt,2017-05-03,2017-05-03,,2017-05-03,high
78486Q10,2015.0,4.0,1.68,1.61,78486Q10,SVB FINANCIAL GROUP,SVB Financial Group,high,transcripts_by_company/SVB_Financial_Group_2015Q4.txt,2015-10-22,2015-10-22,1.57,2015-10-22,high
68375710,2011.0,3.0,0.24,0.23,68375710,OPNET TECHNOLOGIES,"OPNET Technologies, Inc.",high,transcripts_by_company/OPNET_Technologies_Inc_2011Q3.txt,2011-08-02,2011-08-02,0.21,2011-08-02,high
64107N20,2010.0,3.0,0.36,0.54,64107N20,NET 1 UEPS TECHNOLOGIES INC,"Net 1 UEPS Technologies, Inc.",high,transcripts_by_company/Net_1_UEPS_Technologies_Inc_2010Q3.txt,2010-08-27,2010-08-26,2.01,2010-08-26,high
13173L10,2019.0,1.0,-0.23,-0.27,13173L10,CALYXT INC,"Calyxt, Inc.",high,transcripts_by_company/Calyxt_Inc_2019Q1.txt,2019-02-28,2019-03-11,-0.91,2019-03-11,high
05389310,2004.0,3.0,0.34,0.38,05389310,AVOCENT,Avocent Corporation,high,transcripts_by_company/Avocent_Corporation_2004Q3.txt,2004-07-22,2004-07-22,0.3,2004-07-22,high
87305R10,2017.0,2.0,0.31,0.32,87305R10,TTM TECHNOLOGIES INC,"TTM Technologies, Inc.",high,transcripts_by_company/TTM_Technologies_Inc_2017Q2.txt,2017-05-03,2017-05-03,0.37,2017-05-03,high
51841510,2006.0,1.0,0.02,-0.03,51841510,LATTICE SEMICONDUCTOR CORP,Lattice Semiconductor,high,transcripts_by_company/Lattice_Semiconductor_2006Q1.txt,2006-01-26,2006-01-26,-0.18,2006-01-26,high
14233910,2010.0,1.0,0.37,0.34,14233910,CARLISLE COMPANIES INC,Carlisle Companies,high,transcripts_by_company/Carlisle_Companies_2010Q1.txt,2010-02-03,2010-02-03,2.4,2010-02-03,high
76132B10,2014.0,1.0,0.21,0.18,76132B10,RETAILMENOT INC,"RetailMeNot, Inc.",high,transcripts_by_company/RetailMeNot_Inc_2014Q1.txt,2014-02-10,2014-02-06,1.07,2014-02-06,high
44967H10,2017.0,4.0,0.24,0.29,44967H10,ILG INC,"ILG, Inc.",high,transcripts_by_company/ILG_Inc_2017Q4.txt,2017-11-07,2017-11-07,0.28,2017-11-07,high
44888210,2009.0,4.0,,-0.03,44888210,HYDROGENICS CORP,Hydrogenics Corporation,high,transcripts_by_company/Hydrogenics_Corporation_2009Q4.txt,2009-10-27,2009-10-26,-0.06,2009-10-26,high
87241730,2011.0,1.0,0.32,0.1,87241730,TGC INDUSTRIES INC,"TGC Industries, Inc.",high,transcripts_by_company/TGC_Industries_Inc_2011Q1.txt,2011-02-28,2011-02-28,-0.06,2011-02-28,high
34959E10,2016.0,4.0,0.3,0.26,34959E10,FORTINET INC,"Fortinet, Inc.",high,transcripts_by_company/Fortinet_Inc_2016Q4.txt,2016-10-11,2016-10-27,0.18,2016-10-27,high
G8807B10,2015.0,4.0,-1.23,-1.5,G8807B10,THERAVANCE BIOPHARMA INC,Theravance,high,transcripts_by_company/Theravance_2015Q4.txt,2015-11-11,2015-11-09,-1.4,2015-11-09,high
69357C50,2019.0,3.0,-0.03,0.09,69357C50,PRGX GLOBAL INC,"PRGX Global, Inc.",high,transcripts_by_company/PRGX_Global_Inc_2019Q3.txt,2019-07-30,2019-07-30,-0.18,2019-07-30,high
09062X10,2011.0,3.0,1.61,1.48,09062X10,BIOGEN IDEC INC,"Biogen Idec, Inc.",high,transcripts_by_company/Biogen_Idec_Inc_2011Q3.txt,2011-09-07,2011-10-28,1.61,2011-10-28,high
42739810,2005.0,2.0,0.24,0.28,42739810,HERLEY INDUSTRIES INCORPORAT,"Herley Industries, Inc.",high,transcripts_by_company/Herley_Industries_Inc_2005Q2.txt,2005-06-10,2005-06-09,0.24,2005-06-09,high
83269640,2017.0,2.0,1.8,1.82,83269640,J M SMUCKER CO,The J. M. Smucker Company,high,transcripts_by_company/The_J_M_Smucker_Company_2017Q2.txt,2017-06-08,2017-06-08,7.72,2017-06-08,high
