filepath,cusip,ticker,company_name,eps_actual,eps_forecast
/Users/vazea/Desktop/NNW/transcripts_by_company/NEW_JERSEY_RESOURCES_CORP_2022Q1.txt,64602510,NJR,NEW JERSEY RESOURCES CORP,0.69,0.75
/Users/vazea/Desktop/NNW/transcripts_by_company/ZIM_INTEGRATED_SHIPPING_SERVICES_2023Q2.txt,M9T95110,ZIM,ZIM INTEGRATED SHIPPING SERVICES,-1.79,-0.89
/Users/vazea/Desktop/NNW/transcripts_by_company/AGCO_CORP_2012Q1.txt,00108410,AGCO,AGCO CORP,1.21,0.86
/Users/vazea/Desktop/NNW/transcripts_by_company/NUVASIVE_INC_2017Q3.txt,67070410,NUVA,NUVASIVE INC,0.52,0.5
/Users/vazea/Desktop/NNW/transcripts_by_company/NEW_YORK_TIMES_CO_2020Q2.txt,65011110,NYT,NEW YORK TIMES CO,0.18,0.02
/Users/vazea/Desktop/NNW/transcripts_by_company/RR_DONNELLEY_SONS_CO_2021Q4.txt,25786720,RRD,RR DONNELLEY & SONS CO,0.71,1.31
/Users/vazea/Desktop/NNW/transcripts_by_company/UQM_TECHNOLOGIES_INC_2011Q2.txt,90321310,UQM,UQM TECHNOLOGIES INC,-0.01,0.0
/Users/vazea/Desktop/NNW/transcripts_by_company/REEDS_INC_2016Q4.txt,75833810,REED,REED'S INC,-0.32,-0.2
/Users/vazea/Desktop/NNW/transcripts_by_company/NORTHWESTERN_ENERGY_GROUP_INC_2014Q3.txt,66807430,NWE,NORTHWESTERN ENERGY GROUP INC,0.34,0.43
/Users/vazea/Desktop/NNW/transcripts_by_company/BIRD_GLOBAL_INC_2022Q4.txt,09077J10,BRDS,BIRD GLOBAL INC,-0.5,-0.44
/Users/vazea/Desktop/NNW/transcripts_by_company/DISCOVER_FINANCIAL_SERVICES_2015Q4.txt,25470910,DFS,DISCOVER FINANCIAL SERVICES,5.13,5.29
/Users/vazea/Desktop/NNW/transcripts_by_company/DTS_INC_2006Q3.txt,23335C10,DTSI,DTS INC,-0.05,-0.06
/Users/vazea/Desktop/NNW/transcripts_by_company/NATIONAL_OILWELL_VARCO_INC_2005Q1.txt,63707110,NOV,NATIONAL OILWELL VARCO INC,0.42,0.42
/Users/vazea/Desktop/NNW/transcripts_by_company/EZCORP_INC_2019Q4.txt,30230110,EZPW,EZCORP INC,0.9,0.9
/Users/vazea/Desktop/NNW/transcripts_by_company/SEQUENTIAL_BRANDS_GROUP_INC_2016Q4.txt,81734P10,SQBG,SEQUENTIAL BRANDS GROUP INC,0.33,0.38
/Users/vazea/Desktop/NNW/transcripts_by_company/LEXMARK_INTERNATIONAL_INC_2011Q4.txt,52977110,LXK,LEXMARK INTERNATIONAL INC,4.71,4.62
/Users/vazea/Desktop/NNW/transcripts_by_company/CHECK_POINT_SOFTWARE_TECHNOLOGIE_2003Q3.txt,M2246510,CHKP,CHECK POINT SOFTWARE TECHNOLOGIE,0.23,0.23
/Users/vazea/Desktop/NNW/transcripts_by_company/WEST_PHARMACEUTICAL_SERVICES_INC_2013Q3.txt,95530610,WST,WEST PHARMACEUTICAL SERVICES INC,0.39,0.36
/Users/vazea/Desktop/NNW/transcripts_by_company/BANK_OF_HAWAII_CORP_2020Q4.txt,06254010,BOH,BANK OF HAWAII CORP,3.86,3.92
/Users/vazea/Desktop/NNW/transcripts_by_company/WORKIVA_INC_2017Q3.txt,98139A10,WK,WORKIVA INC,-0.23,-0.29
/Users/vazea/Desktop/NNW/transcripts_by_company/MASTERCRAFT_BOAT_HOLDINGS_INC_2022Q4.txt,57637H10,MCFT,MASTERCRAFT BOAT HOLDINGS INC,4.54,4.3
/Users/vazea/Desktop/NNW/transcripts_by_company/WILLDAN_GROUP_INC_2023Q1.txt,96924N10,WLDN,WILLDAN GROUP INC,0.32,-0.07
/Users/vazea/Desktop/NNW/transcripts_by_company/WOLFSPEED_INC_2023Q2.txt,97785210,WOLF,WOLFSPEED INC,-0.11,-0.12
/Users/vazea/Desktop/NNW/transcripts_by_company/LIMONEIRA_CO_2020Q4.txt,53274610,LMNR,LIMONEIRA CO,-0.69,-0.48
/Users/vazea/Desktop/NNW/transcripts_by_company/STEALTHGAS_INC_2018Q4.txt,Y8166910,GASS,STEALTHGAS INC,-0.02,0.05
/Users/vazea/Desktop/NNW/transcripts_by_company/WASTE_MANAGEMENT_INC_2020Q3.txt,94106L10,WM,WASTE MANAGEMENT INC,1.09,1.0
/Users/vazea/Desktop/NNW/transcripts_by_company/PENNSYLVANIA_REAL_ESTATE_INVESTM_2005Q3.txt,70910210,PEI,PENNSYLVANIA REAL ESTATE INVESTM,0.29,0.15
/Users/vazea/Desktop/NNW/transcripts_by_company/KEYNOTE_SYSTEMS_INC_2003Q2.txt,49330810,KEYN,KEYNOTE SYSTEMS INC,-0.09,-0.1
/Users/vazea/Desktop/NNW/transcripts_by_company/CAMDEN_PROPERTY_TRUST_2002Q4.txt,13313110,CPT,CAMDEN PROPERTY TRUST,1.0,1.05
/Users/vazea/Desktop/NNW/transcripts_by_company/DXP_ENTERPRISES_INC_2018Q1.txt,23337740,DXPE,DXP ENTERPRISES INC,0.24,0.2
/Users/vazea/Desktop/NNW/transcripts_by_company/IRIDEX_CORP_2020Q1.txt,46268410,IRIX,IRIDEX CORP,-0.12,-0.17
/Users/vazea/Desktop/NNW/transcripts_by_company/IAMGOLD_CORP_2022Q4.txt,4509131X,IAG,IAMGOLD CORP,-0.07,-0.02
/Users/vazea/Desktop/NNW/transcripts_by_company/ANGIODYNAMICS_INC_2023Q1.txt,03475V10,ANGO,ANGIODYNAMICS INC,-0.06,-0.03
/Users/vazea/Desktop/NNW/transcripts_by_company/PF_CHANGS_CHINA_BISTRO_INC_2011Q1.txt,69333Y10,PFCB,PF CHANG'S CHINA BISTRO INC,0.46,0.53
/Users/vazea/Desktop/NNW/transcripts_by_company/ETRADE_FINANCIAL_CORP_2007Q1.txt,26924610,ETFC,E*TRADE FINANCIAL CORP,0.39,0.39
/Users/vazea/Desktop/NNW/transcripts_by_company/LEXMARK_INTERNATIONAL_INC_2007Q1.txt,52977110,LXK,LEXMARK INTERNATIONAL INC,0.96,1.01
/Users/vazea/Desktop/NNW/transcripts_by_company/ALNYLAM_PHARMACEUTICALS_INC_2013Q2.txt,02043Q10,ALNY,ALNYLAM PHARMACEUTICALS INC,-0.29,-0.35
/Users/vazea/Desktop/NNW/transcripts_by_company/BEASLEY_BROADCAST_GROUP_INC_2021Q2.txt,07401410,BBGI,BEASLEY BROADCAST GROUP INC,0.01,0.01
/Users/vazea/Desktop/NNW/transcripts_by_company/EXACT_SCIENCES_CORP_2013Q2.txt,30063P10,EXAS,EXACT SCIENCES CORP,-0.19,-0.18
/Users/vazea/Desktop/NNW/transcripts_by_company/CSW_INDUSTRIALS_INC_2021Q4.txt,12640210,CSWI,CSW INDUSTRIALS INC,2.66,3.04
/Users/vazea/Desktop/NNW/transcripts_by_company/BAXTER_INTERNATIONAL_INC_2010Q2.txt,07181310,BAX,BAXTER INTERNATIONAL INC,0.93,0.92
