ticker,quarter,eps_actual,eps_forecast,transcript_path,cosine_prepared,cosine_qa,nnw_final,has_qa_section
TEN,2012Q2,1.14,0.97,/Users/vazea/Desktop/NNW/transcripts_by_company/TENNECO_INC_2012Q2.txt,0.16432911789187377,0.28315523356890326,0.552515648539223,True
PRTY,2016Q1,0.04,0.04,/Users/vazea/Desktop/NNW/transcripts_by_company/PARTY_CITY_HOLDCO_INC_2016Q1.txt,0.3755048794685339,0.20018467284014282,0.4243104476913233,True
SMSI,2018Q3,0.01,-0.01,/Users/vazea/Desktop/NNW/transcripts_by_company/SMITH_MICRO_SOFTWARE_INC_2018Q3.txt,0.05354519630761848,0.24402256050423332,0.7024322431881482,True
FORR,2013Q1,0.21,0.12,/Users/vazea/Desktop/NNW/transcripts_by_company/FORRESTER_RESEARCH_INC_2013Q1.txt,0.2057283418625609,0.11548969016647503,0.6787819679709641,True
LMT,2020Q3,6.25,6.07,/Users/vazea/Desktop/NNW/transcripts_by_company/LOCKHEED_MARTIN_CORP_2020Q3.txt,0.09334803041544747,0.1374256674070303,0.7692263021775222,True
BNED,2019Q3,0.02,0.11,/Users/vazea/Desktop/NNW/transcripts_by_company/BARNES_NOBLE_EDUCATION_INC_2019Q3.txt,0.020099213741005224,0.010757670922295404,0.9691431153366994,False
GSK,2018Q3,0.92,0.88,/Users/vazea/Desktop/NNW/transcripts_by_company/GSK_PLC_2018Q3.txt,0.10011262977341212,0.15474913063821868,0.7451382395883692,True
CAG,2006Q2,0.38,0.38,/Users/vazea/Desktop/NNW/transcripts_by_company/CONAGRA_BRANDS_INC_2006Q2.txt,0.5204462508704012,0.3497221275456452,0.12983162158395362,True
GEN,2015Q3,0.07,0.07,/Users/vazea/Desktop/NNW/transcripts_by_company/GENESIS_HEALTHCARE_INC_2015Q3.txt,0.3016036559925216,0.05794104904595281,0.6404552949615256,False
WY,2020Q4,1.29,1.22,/Users/vazea/Desktop/NNW/transcripts_by_company/WEYERHAEUSER_CO_2020Q4.txt,0.3524058347177718,0.28187476046050214,0.365719404821726,True
GLDD,2017Q1,-0.06,-0.04,/Users/vazea/Desktop/NNW/transcripts_by_company/GREAT_LAKES_DREDGE_DOCK_CORP_2017Q1.txt,0.33229336777686713,0.12398053627992664,0.5437260959432062,True
VSTA,2006Q1,0.09,-0.01,/Users/vazea/Desktop/NNW/transcripts_by_company/VISTACARE_INC_2006Q1.txt,0.3507858073943306,0.1558866970909201,0.4933274955147493,True
CMS,2008Q4,1.25,1.2,/Users/vazea/Desktop/NNW/transcripts_by_company/CMS_ENERGY_CORP_2008Q4.txt,0.21660513746084314,0.11576257067780094,0.667632291861356,True
BTAI,2023Q2,-1.83,-1.77,/Users/vazea/Desktop/NNW/transcripts_by_company/BIOXCEL_THERAPEUTICS_INC_2023Q2.txt,0.10676754953253453,0.08535151134306025,0.8078809391244052,False
EIX,2014Q3,1.52,1.35,/Users/vazea/Desktop/NNW/transcripts_by_company/EDISON_INTERNATIONAL_2014Q3.txt,0.1675588808060718,0.15185073122788917,0.680590387966039,True
ICFI,2014Q4,2.19,2.24,/Users/vazea/Desktop/NNW/transcripts_by_company/ICF_INTERNATIONAL_INC_2014Q4.txt,0.22390002009134274,0.3180495560302772,0.45805042387838,True
MNRO,2018Q2,0.54,0.54,/Users/vazea/Desktop/NNW/transcripts_by_company/MONRO_INC_2018Q2.txt,0.31039202335161703,0.37087132656426375,0.31873665008411917,True
COLM,2012Q3,1.88,1.64,/Users/vazea/Desktop/NNW/transcripts_by_company/COLUMBIA_SPORTSWEAR_CO_2012Q3.txt,0.15622702685221534,0.07091836186704009,0.7728546112807446,False
SJI,2003Q3,-0.13,-0.25,/Users/vazea/Desktop/NNW/transcripts_by_company/SOUTH_JERSEY_INDUSTRIES_INC_2003Q3.txt,0.11041915118769294,0.03957706226919556,0.8500037865431115,False
TFX,2016Q4,7.34,7.3,/Users/vazea/Desktop/NNW/transcripts_by_company/TELEFLEX_INC_2016Q4.txt,0.12895666432244673,0.01737392819476039,0.853669407482793,False
PEET,2009Q3,0.19,0.16,/Users/vazea/Desktop/NNW/transcripts_by_company/PEETS_COFFEE_TEA_INC_2009Q3.txt,0.27017437419220564,0.055981398064648066,0.6738442277431463,False
TGTX,2020Q3,-0.61,-0.44,/Users/vazea/Desktop/NNW/transcripts_by_company/TG_THERAPEUTICS_INC_2020Q3.txt,0.4271549199160405,0.2236324945502904,0.3492125855336691,True
AMCX,2017Q4,7.37,7.14,/Users/vazea/Desktop/NNW/transcripts_by_company/AMC_NETWORKS_INC_2017Q4.txt,0.01963832709111849,0.10353813839773292,0.8768235345111486,True
DAIO,2020Q1,-0.07,-0.16,/Users/vazea/Desktop/NNW/transcripts_by_company/DATA_IO_CORP_2020Q1.txt,0.06231436170733606,0.13690883701842493,0.800776801274239,True
RBBN,2019Q2,0.14,0.11,/Users/vazea/Desktop/NNW/transcripts_by_company/RIBBON_COMMUNICATIONS_INC_2019Q2.txt,0.3702027736988775,0.08107062350735592,0.5487266027937665,False
TDS,2016Q3,0.11,0.19,/Users/vazea/Desktop/NNW/transcripts_by_company/TELEPHONE_AND_DATA_SYSTEMS_INC_2016Q3.txt,0.39392667059975606,0.3145699572220648,0.2915033721781791,True
EXTR,2012Q2,0.06,0.07,/Users/vazea/Desktop/NNW/transcripts_by_company/EXTREME_NETWORKS_INC_2012Q2.txt,0.17107989360384251,0.18839393786817188,0.6405261685279857,True
LFUS,2003Q3,0.19,0.15,/Users/vazea/Desktop/NNW/transcripts_by_company/LITTELFUSE_INC_2003Q3.txt,0.16880891680461674,0.26914035907578343,0.5620507241195998,True
SLXP,2005Q3,0.2,0.18,/Users/vazea/Desktop/NNW/transcripts_by_company/SALIX_PHARMACEUTICALS_LTD_2005Q3.txt,0.06906461374256624,0.16883332629385206,0.7621020599635817,True
PPBI,2021Q3,0.95,0.81,/Users/vazea/Desktop/NNW/transcripts_by_company/PACIFIC_PREMIER_BANCORP_INC_2021Q3.txt,0.2374331235156212,0.018364514153799864,0.7442023623305789,False
RFP,2018Q4,1.96,2.53,/Users/vazea/Desktop/NNW/transcripts_by_company/RESOLUTE_FOREST_PRODUCTS_INC_2018Q4.txt,0.17614046393622448,0.19676608712974544,0.6270934489340301,True
LPNT,2008Q2,0.59,0.57,/Users/vazea/Desktop/NNW/transcripts_by_company/LIFEPOINT_HEALTH_INC_2008Q2.txt,0.10693948003880736,0.13579530323384884,0.7572652167273438,True
LCII,2021Q3,2.5,2.45,/Users/vazea/Desktop/NNW/transcripts_by_company/LCI_INDUSTRIES_2021Q3.txt,0.03752110007572644,0.10331467628056634,0.8591642236437073,True
HRB,2019Q4,2.15,2.01,/Users/vazea/Desktop/NNW/transcripts_by_company/H_R_BLOCK_INC_2019Q4.txt,0.25741792665413105,0.08205349073017693,0.6605285826156921,False
BLL,2019Q1,0.49,0.51,/Users/vazea/Desktop/NNW/transcripts_by_company/BALL_CORP_2019Q1.txt,0.19091556785696565,0.1792215622556476,0.6298628698873868,True
MKL,2002Q2,1.6,2.0,/Users/vazea/Desktop/NNW/transcripts_by_company/MARKEL_GROUP_INC_2002Q2.txt,0.14549473441647093,0.028071476316396043,0.826433789267133,False
HBAN,2016Q2,0.19,0.21,/Users/vazea/Desktop/NNW/transcripts_by_company/HUNTINGTON_BANCSHARES_INC_2016Q2.txt,0.3910090063721406,0.0916014294657228,0.5173895641621367,False
ABT,2005Q1,0.58,0.58,/Users/vazea/Desktop/NNW/transcripts_by_company/ABBOTT_LABORATORIES_2005Q1.txt,0.3302218734934729,0.2796719673539856,0.39010615915254154,True
EEP,2005Q1,0.48,0.54,/Users/vazea/Desktop/NNW/transcripts_by_company/ENBRIDGE_ENERGY_PARTNERS_LP_2005Q1.txt,0.0427459603829691,0.2882960869572846,0.6689579526597463,True
LOPE,2021Q1,1.72,1.67,/Users/vazea/Desktop/NNW/transcripts_by_company/GRAND_CANYON_EDUCATION_INC_2021Q1.txt,0.1395261234158879,0.21146773257014043,0.6490061440139717,True
ACPW,2005Q4,-0.48,-0.45,/Users/vazea/Desktop/NNW/transcripts_by_company/ACTIVE_POWER_INC_2005Q4.txt,0.15921749092582155,0.10852556674058565,0.7322569423335928,True
ACAT,2014Q3,0.89,1.37,/Users/vazea/Desktop/NNW/transcripts_by_company/ARCTIC_CAT_INC_2014Q3.txt,0.22574063561360852,0.18779632803618607,0.5864630363502055,True
FC,2018Q3,-0.18,-0.23,/Users/vazea/Desktop/NNW/transcripts_by_company/FRANKLIN_COVEY_CO_2018Q3.txt,0.2771176239428741,0.09256123973325202,0.6303211363238739,False
BHIL,2022Q2,-0.15,-0.22,/Users/vazea/Desktop/NNW/transcripts_by_company/BENSON_HILL_INC_2022Q2.txt,0.23694349709649776,0.1706447028758236,0.5924118000276787,True
PF,2017Q3,0.58,0.57,/Users/vazea/Desktop/NNW/transcripts_by_company/PINNACLE_FOODS_INC_2017Q3.txt,0.5940126975858654,0.267244593169699,0.1387427092444356,True
RESN,2019Q3,-0.2,-0.2,/Users/vazea/Desktop/NNW/transcripts_by_company/RESONANT_INC_2019Q3.txt,0.11103743530354349,0.07606219941318242,0.8129003652832741,False
SKX,2022Q4,2.38,2.26,/Users/vazea/Desktop/NNW/transcripts_by_company/SKECHERS_USA_INC_2022Q4.txt,0.2736924671299101,0.1026357727828128,0.6236717600872771,True
SPNS,2015Q4,0.45,0.45,/Users/vazea/Desktop/NNW/transcripts_by_company/SAPIENS_INTERNATIONAL_CORPORATIO_2015Q4.txt,0.25053620853623026,0.44333677681447414,0.3061270146492956,True
EBIX,2015Q1,0.52,0.43,/Users/vazea/Desktop/NNW/transcripts_by_company/EBIX_INC_2015Q1.txt,0.3505185891109906,0.14988136087012133,0.49960005001888813,True
RLOC,2015Q1,-0.44,-0.45,/Users/vazea/Desktop/NNW/transcripts_by_company/REACHLOCAL_INC_2015Q1.txt,0.1603952330618337,0.5100822242588413,0.329522542679325,True
CLH,2019Q4,1.89,1.92,/Users/vazea/Desktop/NNW/transcripts_by_company/CLEAN_HARBORS_INC_2019Q4.txt,0.2528712310149034,0.1417320211351285,0.6053967478499681,True
BLKB,2012Q3,0.26,0.24,/Users/vazea/Desktop/NNW/transcripts_by_company/BLACKBAUD_INC_2012Q3.txt,0.21876592625194072,0.17697106707621085,0.6042630066718484,True
AN,2013Q1,0.68,0.64,/Users/vazea/Desktop/NNW/transcripts_by_company/AUTONATION_INC_2013Q1.txt,0.06405580714273426,0.07163756014716578,0.8643066327100999,False
DIOD,2012Q4,0.56,0.48,/Users/vazea/Desktop/NNW/transcripts_by_company/DIODES_INC_2012Q4.txt,0.2587472713331811,0.25592336033769647,0.48532936832912243,True
RCL,2006Q2,0.57,0.53,/Users/vazea/Desktop/NNW/transcripts_by_company/ROYAL_CARIBBEAN_CRUISES_LTD_2006Q2.txt,0.1747670753690234,0.1472048649705815,0.6780280596603951,True
OSP,2008Q4,0.98,0.85,/Users/vazea/Desktop/NNW/transcripts_by_company/OSG_AMERICA_LP_2008Q4.txt,0.11381145208840326,0.2130995443212315,0.6730890035903653,True
GSAT,2016Q4,-0.12,-0.04,/Users/vazea/Desktop/NNW/transcripts_by_company/GLOBALSTAR_INC_2016Q4.txt,0.3229941420770397,0.5204279840349765,0.15657787388798383,True
IT,2015Q2,0.65,0.63,/Users/vazea/Desktop/NNW/transcripts_by_company/GARTNER_INC_2015Q2.txt,0.2988795808132237,0.1681277361730693,0.5329926830137071,True
GPN,2006Q4,1.54,1.51,/Users/vazea/Desktop/NNW/transcripts_by_company/GLOBAL_PAYMENTS_INC_2006Q4.txt,0.330994375860581,0.18744009258350366,0.4815655315559153,True
HOV,2016Q1,-0.11,-0.03,/Users/vazea/Desktop/NNW/transcripts_by_company/HOVNANIAN_ENTERPRISES_INC_2016Q1.txt,0.19309620791873572,0.2700682690181788,0.5368355230630855,True
ALV,2013Q1,1.32,1.22,/Users/vazea/Desktop/NNW/transcripts_by_company/AUTOLIV_INC_2013Q1.txt,0.0976284510633602,0.057834370026278385,0.8445371789103615,False
DDI,2022Q3,-0.48,0.32,/Users/vazea/Desktop/NNW/transcripts_by_company/DOUBLEDOWN_INTERACTIVE_CO_LTD_2022Q3.txt,0.18250379469696043,0.09418464380698548,0.7233115614960541,False
AAPL,2005Q4,1.44,1.42,/Users/vazea/Desktop/NNW/transcripts_by_company/APPLE_INC_2005Q4.txt,0.05690236234448297,0.3307826508894483,0.6123149867660687,True
AZN,2018Q4,1.73,1.67,/Users/vazea/Desktop/NNW/transcripts_by_company/ASTRAZENECA_PLC_2018Q4.txt,0.05816367125149752,0.2463571708134807,0.6954791579350218,True
OSK,2021Q3,2.09,2.25,/Users/vazea/Desktop/NNW/transcripts_by_company/OSHKOSH_CORP_2021Q3.txt,0.22845517614514357,0.24213625041991071,0.5294085734349457,True
ACAD,2013Q2,-0.11,-0.09,/Users/vazea/Desktop/NNW/transcripts_by_company/ACADIA_PHARMACEUTICALS_INC_2013Q2.txt,0.41608069560995425,0.33296305005766835,0.25095625433237734,True
XOXO,2016Q2,0.14,0.14,/Users/vazea/Desktop/NNW/transcripts_by_company/XO_GROUP_INC_2016Q2.txt,0.37768302434544127,0.14650021374310856,0.4758167619114502,True
AMRS,2021Q1,-1.08,-0.14,/Users/vazea/Desktop/NNW/transcripts_by_company/AMYRIS_INC_2021Q1.txt,0.18454409089876592,0.20673891290985383,0.6087169961913803,True
IVAC,2019Q2,-0.05,-0.09,/Users/vazea/Desktop/NNW/transcripts_by_company/INTEVAC_INC_2019Q2.txt,0.03304604488957291,0.27480725059026906,0.6921467045201581,True
AUR,2022Q4,-0.53,-0.76,/Users/vazea/Desktop/NNW/transcripts_by_company/AURORA_INNOVATION_INC_2022Q4.txt,0.14534358183920948,0.2989899564558257,0.5556664617049648,True
RYTM,2021Q2,-0.7,-0.73,/Users/vazea/Desktop/NNW/transcripts_by_company/RHYTHM_PHARMACEUTICALS_INC_2021Q2.txt,0.060071076150276494,0.09338892260225046,0.8465400012474731,False
RBC,2005Q2,0.62,0.62,/Users/vazea/Desktop/NNW/transcripts_by_company/REGAL_REXNORD_CORP_2005Q2.txt,0.19927104528365278,0.2882266277718541,0.512502326944493,True
GAP,2008Q2,-0.07,-0.28,/Users/vazea/Desktop/NNW/transcripts_by_company/GREAT_ATLANTIC_PAC_TEA_INC_2008Q2.txt,0.17841661520514604,0.1564402417283616,0.6651431430664924,True
SMED,2015Q4,0.07,0.01,/Users/vazea/Desktop/NNW/transcripts_by_company/SHARPS_COMPLIANCE_CORP_2015Q4.txt,0.09496336798258283,0.0962631805159603,0.8087734515014569,False
QUOT,2021Q2,-0.16,-0.1,/Users/vazea/Desktop/NNW/transcripts_by_company/QUOTIENT_TECHNOLOGY_INC_2021Q2.txt,0.44427000438851766,0.10314074616348737,0.45258924944799495,True
AB,2017Q2,0.49,0.46,/Users/vazea/Desktop/NNW/transcripts_by_company/ALLIANCEBERNSTEIN_HOLDING_LP_2017Q2.txt,0.1434981704639188,0.25319494537000287,0.6033068841660784,True
RYN,2011Q4,2.1,2.11,/Users/vazea/Desktop/NNW/transcripts_by_company/RAYONIER_INC_2011Q4.txt,0.23867695610304454,0.028673784852722286,0.7326492590442332,False
KOP,2007Q3,0.9,0.68,/Users/vazea/Desktop/NNW/transcripts_by_company/KOPPERS_HOLDINGS_INC_2007Q3.txt,0.41894678215361825,0.36065180393916835,0.2204014139072134,True
CYOU,2012Q1,1.22,1.1,/Users/vazea/Desktop/NNW/transcripts_by_company/CHANGYOUCOM_LTD_2012Q1.txt,0.413387274950639,0.36962389361340015,0.21698883143596087,True
SCHL,2008Q1,-0.07,-0.47,/Users/vazea/Desktop/NNW/transcripts_by_company/SCHOLASTIC_CORP_2008Q1.txt,0.17282506195960246,0.5038570497976675,0.32331788824273,True
BLIN,2017Q4,-0.45,-0.43,/Users/vazea/Desktop/NNW/transcripts_by_company/BRIDGELINE_DIGITAL_INC_2017Q4.txt,0.07402098992229793,0.09012504651873789,0.8358539635589642,False
ARLP,2021Q4,1.45,1.67,/Users/vazea/Desktop/NNW/transcripts_by_company/ALLIANCE_RESOURCE_PARTNERS_LP_2021Q4.txt,0.38227630141734126,0.15964819490333682,0.4580755036793219,True
L,2012Q3,0.45,0.72,/Users/vazea/Desktop/NNW/transcripts_by_company/LOEWS_CORP_2012Q3.txt,0.1250819366588494,0.3290634936422959,0.5458545696988547,True
AMRK,2023Q2,1.35,1.41,/Users/vazea/Desktop/NNW/transcripts_by_company/AMARK_PRECIOUS_METALS_INC_2023Q2.txt,0.11517699959291956,0.1549407737663185,0.7298822266407619,True
MEI,2018Q3,0.87,0.64,/Users/vazea/Desktop/NNW/transcripts_by_company/METHODE_ELECTRONICS_INC_2018Q3.txt,0.18594422243706496,0.3798214659443202,0.4342343116186148,True
HOMB,2008Q1,0.39,0.3,/Users/vazea/Desktop/NNW/transcripts_by_company/HOME_BANCSHARES_INC_2008Q1.txt,0.14540372428323392,0.2269810686417991,0.627615207074967,True
SMRT,2005Q3,-0.05,-0.07,/Users/vazea/Desktop/NNW/transcripts_by_company/STEIN_MART_INC_2005Q3.txt,0.06099429052421174,0.30612119979769203,0.6328845096780962,True
AVD,2017Q3,0.14,0.17,/Users/vazea/Desktop/NNW/transcripts_by_company/AMERICAN_VANGUARD_CORP_2017Q3.txt,0.31188553944191794,0.20945868293974076,0.4786557776183412,True
GSAT,2010Q3,-0.09,-0.04,/Users/vazea/Desktop/NNW/transcripts_by_company/GLOBALSTAR_INC_2010Q3.txt,0.27317623863261825,0.04270854141929158,0.6841152199480902,False
USWS,2021Q1,-0.35,-0.18,/Users/vazea/Desktop/NNW/transcripts_by_company/US_WELL_SERVICES_INC_2021Q1.txt,0.1938774668009588,0.16145676436215028,0.6446657688368909,True
