ticker,period,eps_actual,eps_forecast,transcript_path,cosine,nnw
ELECTRONICS FOR IMAGING INC,4.0,0.36,0.24,transcripts_by_company/Electronics_for_Imaging_Inc_2005Q4.txt,0.17183178663253784,0.8281682133674622
MEDAREX INC,3.0,-0.68,-0.46,transcripts_by_company/Medarex_2004Q3.txt,0.14224888384342194,0.8577511161565781
JOHN B SANFILIPPO & SON INC,2.0,0.75,0.69,transcripts_by_company/John_B_Sanfilippo_and_Son_Inc_2015Q2.txt,0.0906076431274414,0.9093923568725586
SUCAMPO PHARMACEUTICALS INC,3.0,0.03,0.07,transcripts_by_company/Sucampo_Pharmaceuticals_Inc_2013Q3.txt,0.24930693209171295,0.750693067908287
DIRECT GENERAL CORP,1.0,0.61,0.77,transcripts_by_company/Direct_General_Corporation_2005Q1.txt,0.2563055157661438,0.7436944842338562
FORWARD AIR CORP,3.0,1.14,0.86,transcripts_by_company/Forward_Air_Corporation_2021Q3.txt,0.28003910183906555,0.7199608981609344
STERIS CORP,1.0,0.61,0.6,transcripts_by_company/STERIS_Corporation_2011Q1.txt,0.2714836001396179,0.7285163998603821
DIEBOLD INC,2.0,0.6,0.66,transcripts_by_company/Diebold_2004Q2.txt,0.18330977857112885,0.8166902214288712
NATIONAL INSTRUMENTS CORP,2.0,0.12,0.21,transcripts_by_company/National_Instruments_2013Q2.txt,0.3314506411552429,0.6685493588447571
ALLISON TRANSMISSION HOLDINGS IN,1.0,1.3,1.22,transcripts_by_company/Allison_Transmission_Holdings_Inc_2022Q1.txt,0.2716120481491089,0.7283879518508911
ACCURAY INC,3.0,0.04,0.08,transcripts_by_company/Accuray_Incorporated_2007Q3.txt,0.3266060948371887,0.6733939051628113
GOLD RESOURCE CORP,1.0,-0.05,0.13,transcripts_by_company/Gold_Resource_Corporation_2020Q1.txt,0.29844462871551514,0.7015553712844849
VICAL INCORPORATED,2.0,-0.21,-0.23,transcripts_by_company/Vical_Inc_2008Q2.txt,0.11710148304700851,0.8828985169529915
CMS ENERGY CORP,3.0,0.33,0.27,transcripts_by_company/CMS_Energy_Corporation_2008Q3.txt,0.09101962298154831,0.9089803770184517
NOVAN INC,4.0,-0.51,-0.51,transcripts_by_company/Novan_Inc_2017Q4.txt,0.30612725019454956,0.6938727498054504
