ticker,period,eps_actual,eps_forecast,transcript_path,cosine,nnw
SILICON IMAGE INC,4.0,0.09,0.07,transcripts_by_company/Silicon_Image_Inc_2014Q4.txt,0.12764914333820343,0.8723508566617966
CASELLA WASTE SYSTEMS INC,2.0,0.22,0.26,transcripts_by_company/Casella_Waste_Systems_Inc_2018Q2.txt,0.022268647328019142,0.9777313526719809
NOVAGOLD RESOURCES INC,2.0,-0.03,-0.01,transcripts_by_company/NovaGold_Resources_Inc_2018Q2.txt,0.24489495158195496,0.755105048418045
DIGITAL REALTY TRUST INC,2.0,0.33,0.25,transcripts_by_company/Digital_Realty_Trust_Inc_2011Q2.txt,0.1327044516801834,0.8672955483198166
PENNYMAC FINANCIAL SERVICES INC,1.0,0.47,0.65,transcripts_by_company/PennyMac_Financial_Services_Inc_2017Q1.txt,0.11371961236000061,0.8862803876399994
HERMAN  MILLER INC,4.0,0.61,0.68,transcripts_by_company/Herman_Miller_2008Q4.txt,0.2805792987346649,0.7194207012653351
SPERO THERAPEUTICS INC,4.0,-0.68,-0.83,transcripts_by_company/Spero_Therapeutics_Inc_2020Q4.txt,0.1441337764263153,0.8558662235736847
I-MANY INC,3.0,-0.02,-0.04,transcripts_by_company/I-many_Inc_2007Q3.txt,0.26331406831741333,0.7366859316825867
COHERUS BIOSCIENCES INC,3.0,-1.09,-1.3,transcripts_by_company/Coherus_BioSciences_Inc_2017Q3.txt,0.24850714206695557,0.7514928579330444
STILLWATER MINING CO,4.0,0.18,0.42,transcripts_by_company/Stillwater_Mining_Co_2011Q4.txt,0.10123839974403381,0.8987616002559662
ADC THERAPEUTICS SA,4.0,-0.45,-1.01,transcripts_by_company/ADC_Therapeutics_SA_2021Q4.txt,0.27732396125793457,0.7226760387420654
CEDAR FAIR LP,4.0,-0.39,-0.04,transcripts_by_company/Cedar_Fair_LP_2009Q4.txt,0.11925793439149857,0.8807420656085014
OWENS & MINOR INC,3.0,0.41,0.87,transcripts_by_company/Owens_and_Minor_Inc_2022Q3.txt,0.10016043484210968,0.8998395651578903
RITHM CAPITAL CORP,2.0,0.34,0.53,transcripts_by_company/TH_Capital_LLC_2020Q2.txt,0.10980421304702759,0.8901957869529724
ROYAL GOLD INC,3.0,0.21,0.22,transcripts_by_company/Royal_Gold_Inc_2006Q3.txt,0.14624899625778198,0.853751003742218
OMEGA HEALTHCARE INVESTORS INC,4.0,0.11,0.14,transcripts_by_company/Omega_HealthCare_Investors_Inc_2005Q4.txt,0.24909916520118713,0.7509008347988129
AETNA INC,4.0,1.32,1.15,transcripts_by_company/Aetna_Inc_2003Q4.txt,0.2775695323944092,0.7224304676055908
TRW AUTOMOTIVE HOLDINGS CORP,3.0,1.52,1.53,transcripts_by_company/TRW_Automotive_Holdings_Corp_2013Q3.txt,0.2928540110588074,0.7071459889411926
KROLL INC,3.0,0.18,0.13,transcripts_by_company/Kroll_2002Q3.txt,0.1848723143339157,0.8151276856660843
PINNACLE WEST CAPITAL CORP,2.0,1.48,1.49,transcripts_by_company/Pinnacle_West_Capital_Corporation_2018Q2.txt,0.34422051906585693,0.6557794809341431
KORN/FERRY INTERNATIONAL,3.0,0.24,0.16,transcripts_by_company/KornFerry_International_2010Q3.txt,0.25173795223236084,0.7482620477676392
EXTREME NETWORKS INC,1.0,0.06,-0.01,transcripts_by_company/Extreme_Networks_2010Q1.txt,0.3189612030982971,0.6810387969017029
SUPERIOR INDUSTRIES INTERNATIONA,2.0,0.1,0.14,transcripts_by_company/Superior_Industries_International_Inc_2022Q2.txt,0.16045857965946198,0.839541420340538
