ticker,period,eps_actual,eps_forecast,transcript_path,cosine_prepared,cosine_qa,nnw_final,has_qa_section
FIRST MARBLEHEAD CORP,3.0,-0.94,0.76,transcripts_by_company/First_Marblehead_Corporation_2008Q3.txt,0.3203228712081909,0.0,0.6796771287918091,False
REPLIGEN CORP,2.0,0.2,0.17,transcripts_by_company/Repligen_Corporation_2017Q2.txt,0.26873618364334106,0.11786603927612305,0.7765248596668244,True
CREE INC,3.0,0.6,0.5,transcripts_by_company/Cree_Inc_2010Q3.txt,0.12378151714801788,0.40111643075942993,0.7930180087685585,True
KAMAN CORP,1.0,0.21,0.56,transcripts_by_company/Kaman_Corporation_2009Q1.txt,0.39763540029525757,0.20954471826553345,0.6587918043136597,True
NATIONAL RETAIL PROPERTIES INC,3.0,0.29,0.28,transcripts_by_company/National_Retail_Properties_Inc_2013Q3.txt,0.20717403292655945,0.14301800727844238,0.8120727747678758,True
STANDARD MOTOR PRODUCTS INC,4.0,0.37,0.82,transcripts_by_company/Standard_Motor_Products_Inc_2023Q4.txt,0.16585445404052734,0.3321608901023865,0.784253615140915,True
AMERICAN EXPRESS CO,1.0,0.73,0.38,transcripts_by_company/American_Express_Company_2010Q1.txt,0.23000578582286835,0.3221675455570221,0.7423456862568856,True
NAVIGANT CONSULTING CO,4.0,0.15,0.24,transcripts_by_company/Navigant_Consulting_2010Q4.txt,0.17939437925815582,0.10846901684999466,0.8418832294642925,True
DELTA AIR LINES INC,4.0,-1.22,-1.52,transcripts_by_company/Delta_Air_Lines_Inc_2006Q4.txt,0.1551816612482071,0.2283528447151184,0.8228669837117195,True
LIMBACH HOLDINGS INC,3.0,-0.46,0.33,transcripts_by_company/Limbach_Holdings_Inc_2018Q3.txt,0.2827989459037781,0.1618327647447586,0.7534909084439277,True
ATRICURE INC,2.0,-0.11,-0.23,transcripts_by_company/AtriCure_Inc_2023Q2.txt,0.25196197628974915,0.0,0.7480380237102509,False
ELECTRONIC ARTS INC,2.0,-0.22,-0.07,transcripts_by_company/Electronic_Arts_2007Q2.txt,0.16183777153491974,-0.0027904792223125696,0.88755070369225,True
KENNAMETAL INC,1.0,0.46,0.82,transcripts_by_company/Kennametal_Inc_2020Q1.txt,0.0682963877916336,0.24039326608181,0.8800745487213135,True
GLOBAL TELECOM & TECHNOLOGY INC,3.0,-0.19,0.07,transcripts_by_company/Global_Telecom_and_Technology_Inc_2013Q3.txt,0.3667570948600769,0.14619581401348114,0.6994112893939018,True
CROWN HOLDINGS INC,4.0,0.48,0.58,transcripts_by_company/Crown_Holdings_Inc_2014Q4.txt,0.2441880702972412,0.2417273223400116,0.7565501540899278,True
HYSTER-YALE INC,1.0,0.9,1.27,transcripts_by_company/Hyster-Yale_Materials_Handling_Inc_2018Q1.txt,0.15295720100402832,0.3590731918811798,0.7852080017328262,True
ELKCORP,1.0,0.75,0.46,transcripts_by_company/ElkCorp_2005Q1.txt,0.16010628640651703,0.15600623190402985,0.8411237299442291,True
PRIORITY TECHNOLOGY HOLDINGS INC,2.0,-0.11,0.1,transcripts_by_company/Priority_Technology_Holdings_Inc_2022Q2.txt,0.30046114325523376,0.14444202184677124,0.746344593167305,True
THL CREDIT INC,4.0,0.36,0.35,transcripts_by_company/THL_Credit_Inc_2015Q4.txt,0.313667893409729,0.34738001227378845,0.6762184709310533,True
AUTONATION INC,1.0,0.75,0.76,transcripts_by_company/AutoNation_2014Q1.txt,0.40765389800071716,0.35278943181037903,0.6088054418563843,True
BANK OF HAWAII CORP,3.0,0.95,0.92,transcripts_by_company/Bank_of_Hawaii_Corporation_2014Q3.txt,0.11080358177423477,0.37525224685668945,0.8098618187010288,True
BENCHMARK ELECTRONICS INC,4.0,0.48,0.37,transcripts_by_company/Benchmark_Electronics_Inc_2021Q4.txt,0.29982590675354004,0.2165900468826294,0.7251448512077332,True
PNM RESOURCES INC,4.0,0.15,0.35,transcripts_by_company/PNM_Resources_Inc_2020Q4.txt,0.26209378242492676,0.1051231175661087,0.7849974170327186,True
DULUTH HOLDINGS INC,3.0,0.18,0.1,transcripts_by_company/Duluth_Holdings_Inc_2020Q3.txt,0.34466928243637085,0.3490521311759949,0.654015862941742,True
EGAIN CORP,1.0,-0.05,0.02,transcripts_by_company/eGain_Communications_Corporation_2012Q1.txt,0.166513592004776,0.11523779481649399,0.8488691471517086,True
IROBOT CORP,2.0,-0.1,-0.06,transcripts_by_company/iRobot_Corporation_2009Q2.txt,0.041809357702732086,0.23643988370895386,0.8998014844954014,True
ENPRO INC,4.0,1.23,1.14,transcripts_by_company/EnPro_Industries_Inc_2021Q4.txt,0.23956772685050964,0.2398744374513626,0.7603402599692345,True
METRO-GOLDWYN-MAYER INC,4.0,0.25,0.08,transcripts_by_company/Metro-Goldwyn-Mayer_2003Q4.txt,0.44622156023979187,0.21422484517097473,0.6233774542808532,True
CORENERGY INFRASTRUCTURE TRUST I,3.0,0.12,0.11,transcripts_by_company/CorEnergy_Infrastructure_Trust_Inc_2015Q3.txt,0.24122528731822968,0.0,0.7587747126817703,False
API GROUP CORP,3.0,0.37,0.41,transcripts_by_company/APi_Group_Corporation_2022Q3.txt,0.09498296678066254,0.21550458669662476,0.8688605472445488,True
NANTHEALTH INC,1.0,-0.06,-0.04,transcripts_by_company/NantHealth_Inc_2020Q1.txt,0.2428804337978363,0.1041647344827652,0.798734275996685,True
NOVO NORDISK A/S,1.0,8.78,7.65,transcripts_by_company/Novo_Nordisk_AS_2023Q1.txt,0.25136321783065796,0.3074833154678345,0.7318007528781891,True
