eps_name,quarter,actual_eps,forecast_eps,filepath
APEN,2017Q3,-0.32,-0.45,/Users/vazea/Desktop/NNW/transcripts_by_company/APOLLO_ENDOSURGERY_INC_2017Q3.txt
BRCM,2012Q4,0.76,2.89,/Users/vazea/Desktop/NNW/transcripts_by_company/BROADCOM_CORP_2012Q4.txt
VRTV,2022Q2,6.12,4.5,/Users/vazea/Desktop/NNW/transcripts_by_company/VERITIV_CORP_2022Q2.txt
AIMC,2018Q1,0.66,0.58,/Users/vazea/Desktop/NNW/transcripts_by_company/ALTRA_INDUSTRIAL_MOTION_CORP_2018Q1.txt
ELLI,2011Q4,0.13,0.14,/Users/vazea/Desktop/NNW/transcripts_by_company/ELLIE_MAE_INC_2011Q4.txt
LPX,2010Q1,-0.17,-0.15,/Users/vazea/Desktop/NNW/transcripts_by_company/LOUISIANAPACIFIC_CORP_2010Q1.txt
SNAP,2022Q3,0.08,-0.02,/Users/vazea/Desktop/NNW/transcripts_by_company/SNAP_INC_2022Q3.txt
HMTV,2017Q4,-0.27,0.16,/Users/vazea/Desktop/NNW/transcripts_by_company/HEMISPHERE_MEDIA_GROUP_INC_2017Q4.txt
GENI,2021Q3,-0.37,-0.1,/Users/vazea/Desktop/NNW/transcripts_by_company/GENIUS_SPORTS_LTD_2021Q3.txt
NPSP,2009Q3,-0.16,-0.14,/Users/vazea/Desktop/NNW/transcripts_by_company/NPS_PHARMACEUTICALS_INCORPORATED_2009Q3.txt
NVLS,2008Q2,0.06,0.04,/Users/vazea/Desktop/NNW/transcripts_by_company/NOVELLUS_SYSTEMS_2008Q2_1.txt
TSQ,2021Q4,0.16,1.55,/Users/vazea/Desktop/NNW/transcripts_by_company/TOWNSQUARE_MEDIA_INC_2021Q4.txt
RFP,2018Q3,1.03,0.73,/Users/vazea/Desktop/NNW/transcripts_by_company/RESOLUTE_FOREST_PRODUCTS_INC_2018Q3.txt
LIDR,2023Q2,-0.07,-0.09,/Users/vazea/Desktop/NNW/transcripts_by_company/AEYE_INC_2023Q2.txt
NUAN,2019Q1,0.3,0.28,/Users/vazea/Desktop/NNW/transcripts_by_company/NUANCE_COMMUNICATIONS_INC_2019Q1.txt
