ticker,period,eps_actual,eps_forecast,transcript_path,cosine_prepared,cosine_qa,nnw_final,has_qa_section
EVE HOLDING INC,2.0,-0.11,-0.11,transcripts_by_company/Eve_Holding_Inc_2023Q2.txt,0.13342422246932983,0.30938786268234253,0.8137866854667664,True
EMBARCADERO TECHNOLOGIES,3.0,0.07,0.06,transcripts_by_company/Embarcadero_Technologies_2003Q3.txt,0.07212357968091965,0.22669315338134766,0.881505548208952,True
US AUTO PARTS NETWORK INC,4.0,-0.1,0.03,transcripts_by_company/US_Auto_Parts_2010Q4.txt,0.3905598521232605,0.14189381897449493,0.6840399578213692,True
KIMBALL ELECTRONICS INC,4.0,0.28,0.22,transcripts_by_company/Kimball_Electronics_Inc_2016Q4.txt,0.23357133567333221,0.2538485527038574,0.7603454992175103,True
CARECOM INC,2.0,-0.16,-0.2,transcripts_by_company/Carecom_Inc_2015Q2.txt,0.12580738961696625,0.16012483835220337,0.8638973757624626,True
EQUINIX INC,1.0,0.81,0.85,transcripts_by_company/Equinix_Inc_2014Q1.txt,0.19670340418815613,0.2799108326435089,0.7783343672752381,True
AFLAC INC,3.0,1.82,1.63,transcripts_by_company/Aflac_Incorporated_2016Q3.txt,0.14499829709529877,0.28624340891838074,0.8126281693577766,True
VERA BRADLEY INC,2.0,-0.05,-0.11,transcripts_by_company/Vera_Bradley_Inc_2021Q2.txt,0.1600446254014969,0.40381109714508057,0.766825433075428,True
LANCASTER COLONY CORP,4.0,1.27,1.22,transcripts_by_company/Lancaster_Colony_Corp_2012Q4.txt,0.29849985241889954,0.36723411083221436,0.680879870057106,True
COTIVITI HOLDINGS INC,4.0,0.47,0.46,transcripts_by_company/Cotiviti_Holdings_Inc_2017Q4.txt,0.19324178993701935,0.26354163885116577,0.7856682553887367,True
CRA INTERNATIONAL INC,4.0,0.95,0.76,transcripts_by_company/CRA_International_Inc_2020Q4.txt,0.1807815134525299,0.3610948324203491,0.7651244908571243,True
BF GOODRICH COMPANY,1.0,0.47,0.41,transcripts_by_company/Goodrich_Corporation_2005Q1.txt,0.20995739102363586,0.15146593749523163,0.8075900450348854,True
ALTRA INDUSTRIAL MOTION CORP,4.0,0.41,0.35,transcripts_by_company/Altra_Industrial_Motion_Corp_2016Q4.txt,0.1692269742488861,0.24707730114459991,0.8074179276823998,True
SUNSTONE HOTEL INVESTORS INC,4.0,0.28,-0.05,transcripts_by_company/Sunstone_Hotel_Investors_Inc_2010Q4.txt,0.20787939429283142,0.32591521739959717,0.7567098587751389,True
BENEFITFOCUS INC,2.0,-0.1,-0.12,transcripts_by_company/Benefitfocus_Inc_2022Q2.txt,0.22015295922756195,0.2011212408542633,0.7855565562844277,True
PEBBLEBROOK HOTEL TRUST,4.0,-0.34,0.04,transcripts_by_company/Pebblebrook_Hotel_Trust_2022Q4.txt,0.10486547648906708,0.16245244443416595,0.8778584331274033,True
"URBAN OUTFITTERS, INC.",1.0,0.8,0.8,transcripts_by_company/Urban_Outfitters_Inc_2019Q1.txt,0.14595496654510498,0.24449528753757477,0.824482937157154,True
