ticker,period,eps_actual,eps_forecast,transcript_path,cosine,nnw
OPNET TECHNOLOGIES,3.0,0.24,0.23,transcripts_by_company/OPNET_Technologies_Inc_2011Q3.txt,0.15723130106925964,0.8427686989307404
NET 1 UEPS TECHNOLOGIES INC,3.0,0.36,0.54,transcripts_by_company/Net_1_UEPS_Technologies_Inc_2010Q3.txt,0.06861086934804916,0.9313891306519508
CALYXT INC,1.0,-0.23,-0.27,transcripts_by_company/Calyxt_Inc_2019Q1.txt,0.09663000702857971,0.9033699929714203
AVOCENT,3.0,0.34,0.38,transcripts_by_company/Avocent_Corporation_2004Q3.txt,0.2378990352153778,0.7621009647846222
TTM TECHNOLOGIES INC,2.0,0.31,0.32,transcripts_by_company/TTM_Technologies_Inc_2017Q2.txt,0.21010267734527588,0.7898973226547241
LATTICE SEMICONDUCTOR CORP,1.0,0.02,-0.03,transcripts_by_company/Lattice_Semiconductor_2006Q1.txt,0.25699329376220703,0.743006706237793
CARLISLE COMPANIES INC,1.0,0.37,0.34,transcripts_by_company/Carlisle_Companies_2010Q1.txt,0.18920588493347168,0.8107941150665283
RETAILMENOT INC,1.0,0.21,0.18,transcripts_by_company/RetailMeNot_Inc_2014Q1.txt,0.058465760201215744,0.9415342397987843
ILG INC,4.0,0.24,0.29,transcripts_by_company/ILG_Inc_2017Q4.txt,0.10957979410886765,0.8904202058911324
TGC INDUSTRIES INC,1.0,0.32,0.1,transcripts_by_company/TGC_Industries_Inc_2011Q1.txt,0.1952676922082901,0.8047323077917099
FORTINET INC,4.0,0.3,0.26,transcripts_by_company/Fortinet_Inc_2016Q4.txt,0.11595913022756577,0.8840408697724342
THERAVANCE BIOPHARMA INC,4.0,-1.23,-1.5,transcripts_by_company/Theravance_2015Q4.txt,0.17088547348976135,0.8291145265102386
PRGX GLOBAL INC,3.0,-0.03,0.09,transcripts_by_company/PRGX_Global_Inc_2019Q3.txt,0.38856396079063416,0.6114360392093658
BIOGEN IDEC INC,3.0,1.61,1.48,transcripts_by_company/Biogen_Idec_Inc_2011Q3.txt,0.12379258871078491,0.8762074112892151
HERLEY INDUSTRIES INCORPORAT,2.0,0.24,0.28,transcripts_by_company/Herley_Industries_Inc_2005Q2.txt,0.2661750912666321,0.7338249087333679
J M SMUCKER CO,2.0,1.8,1.82,transcripts_by_company/The_J_M_Smucker_Company_2017Q2.txt,0.13171419501304626,0.8682858049869537
WABTEC CORPORATION,1.0,0.52,0.48,transcripts_by_company/Wabtec_Corporation_2007Q1.txt,0.10836847126483917,0.8916315287351608
INFOSONICS CORP,4.0,-0.07,0.09,transcripts_by_company/InfoSonics_Corporation_2007Q4.txt,0.1514163762331009,0.8485836237668991
ARTIO GLOBAL INVESTORS INC,1.0,0.46,0.42,transcripts_by_company/Artio_Global_Investors_2010Q1.txt,0.16368187963962555,0.8363181203603745
GOLAR LNG LTD,1.0,-0.08,-0.02,transcripts_by_company/Golar_LNG_Limited_2021Q1.txt,0.2088814675807953,0.7911185324192047
SYMMETRICOM INCORPORATED,3.0,0.05,0.08,transcripts_by_company/Symmetricom_2009Q3.txt,0.24850519001483917,0.7514948099851608
SCICLONE PHARMACEUTICALS INCORPO,4.0,-0.08,-0.07,transcripts_by_company/SciClone_Pharmaceuticals_Inc_2007Q4.txt,0.12665268778800964,0.8733473122119904
CYNERGISTEK INC,2.0,0.08,0.11,transcripts_by_company/Cynergistek_Inc_2018Q2.txt,0.26073068380355835,0.7392693161964417
LOWE'S COMPANIES INC,2.0,1.77,1.49,transcripts_by_company/Lowes_Companies_Inc_2020Q2.txt,0.3434075713157654,0.6565924286842346
CALERES INC,4.0,1.37,1.25,transcripts_by_company/Caleres_Inc_2023Q4.txt,0.17699728906154633,0.8230027109384537
INTUIT INC,2.0,1.05,1.06,transcripts_by_company/Intuit_2003Q2.txt,0.37535080313682556,0.6246491968631744
SUPERTEX INC,2.0,0.05,0.07,transcripts_by_company/Supertex_Inc_2012Q2.txt,0.15642456710338593,0.8435754328966141
ALDEYRA THERAPEUTICS INC,4.0,-0.47,-0.57,transcripts_by_company/Aldeyra_Therapeutics_Inc_2019Q4.txt,0.3058164715766907,0.6941835284233093
SNAP INC,2.0,-0.02,0.09,transcripts_by_company/Snap_Inc_2022Q2.txt,0.13965216279029846,0.8603478372097015
MANULIFE FINANCIAL CORP,4.0,0.74,0.69,transcripts_by_company/Manulife_Financial_Corporation_2020Q4.txt,0.26535162329673767,0.7346483767032623
LANDAUER INC,1.0,0.54,0.86,transcripts_by_company/Landauer_Inc_2013Q1.txt,0.23244473338127136,0.7675552666187286
HCP INC,3.0,0.12,0.23,transcripts_by_company/HCP_Inc_2017Q3.txt,0.12877295911312103,0.871227040886879
"RICK'S CABARET INTERNATIONAL, IN",3.0,0.27,0.33,transcripts_by_company/Ricks_Cabaret_International_Inc_2013Q3.txt,0.2266114205121994,0.7733885794878006
SUPERGEN INC,2.0,0.19,-0.05,transcripts_by_company/SuperGen_2007Q2.txt,0.18800774216651917,0.8119922578334808
LOOPNET INC,2.0,0.07,0.06,transcripts_by_company/LoopNet_Inc_2010Q2.txt,0.1629515141248703,0.8370484858751297
